gender,age_range,attendance_freq,event_types,indoor_outdoor,top_event,rain_avoid,cold_tolerance,heat_sensitivity,wind_sensitivity,override_weather,scenario_concert,scenario_festival,scenario_sports,scenario_theatre,scenario_conference,user_id,preferred_event_types
Male,25-34,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events",4,Sports,5,2,5,4,2,2,3,1,1,1,40,Concert|Festival|Sports
Male,25-34,1–2 ori pe an / 1–2 times per year,"Evenimente sportive / Sports events, Teatru / Theatre",3,Theatre,5,5,1,3,5,1,3,3,1,3,41,Sports|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre",3,Festival,5,4,3,5,4,2,3,3,3,3,42,Concert|Festival|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Expoziții / Exhibitions",3,Exhibition,3,2,2,2,4,2,3,1,2,3,43,Concert|Exhibition|Festival|Theatre
Male,55-64,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Teatru / Theatre",2,Concert,2,3,5,4,3,1,3,2,3,3,44,Concert|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Teatru / Theatre, Expoziții / Exhibitions",4,Concert,5,2,4,4,5,1,3,2,0,3,45,Concert|Exhibition|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,Concerte / Concerts,4,Concert,2,4,5,4,4,3,3,2,3,3,46,Concert
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Teatru / Theatre",3,Concert,5,1,3,1,5,2,3,1,3,3,47,Concert|Festival|Sports|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre",3,Festival,4,2,3,3,4,2,3,1,3,3,48,Concert|Festival|Theatre
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre, Expoziții / Exhibitions",3,Concert,4,3,4,2,5,2,3,2,3,3,49,Concert|Exhibition|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Evenimente sportive / Sports events",3,Concert,3,4,2,2,5,2,3,2,3,3,50,Concert|Sports
Female,18-24,Niciodată / Never,Festivaluri / Festivals,4,Festival,5,1,3,5,1,1,2,2,3,2,51,Festival
Male,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre",3,Concert,4,1,3,3,4,2,3,3,3,3,52,Concert|Festival|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals",3,Festival,4,1,2,4,5,2,3,3,2,3,53,Concert|Festival
Female,18-24,1–2 ori pe an / 1–2 times per year,Concerte / Concerts,3,Concert,5,2,5,5,3,1,3,0,3,3,54,Concert
Male,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Conferințe / Conferences, Expoziții / Exhibitions",3,Concert,4,2,4,4,5,2,3,1,3,3,55,Concert|Conference|Exhibition|Festival
Female,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events",4,Concert,4,4,2,4,5,2,3,3,3,3,56,Concert|Festival|Sports
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Expoziții / Exhibitions",3,Concert,5,1,2,5,5,3,3,2,3,3,57,Concert|Exhibition
Non-binary,18-24,Lunar / Monthly,"Concerte / Concerts, Teatru / Theatre, Expoziții / Exhibitions",4,Exhibition,2,5,5,5,3,2,3,0,2,3,58,Concert|Exhibition|Theatre
Female,18-24,1–2 ori pe an / 1–2 times per year,"Teatru / Theatre, Expoziții / Exhibitions",2,Sports,5,3,2,4,4,1,2,0,3,3,59,Exhibition|Theatre
Female,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Teatru / Theatre, Expoziții / Exhibitions",4,Concert,4,2,2,2,5,3,3,2,3,3,60,Concert|Exhibition|Festival|Theatre
Male,18-24,1–2 ori pe an / 1–2 times per year,"Concerte / Concerts, Expoziții / Exhibitions",3,Concert,3,1,4,1,5,2,3,2,3,3,61,Concert|Exhibition
Male,18-24,Lunar / Monthly,"Concerte / Concerts, Festivaluri / Festivals, Evenimente sportive / Sports events, Teatru / Theatre, Expoziții / Exhibitions",3,Sports,2,5,4,3,5,3,3,3,3,3,62,Concert|Exhibition|Festival|Sports|Theatre
